Ticker,GOOGL,MSFT,AAPL,AMZN,NVDA,TSLA,META,NFLX,CRM,JPM,ORCL,BAC,WFC,GS,MS,C,JNJ,PFE,UNH,PG,KO,PEP,WMT,HD,BA,CAT,GE,XOM,CVX,V
GOOGL,1.0,0.8844299009262445,0.9424493793977022,0.9922124411777864,0.7110004515029391,0.9656792355414077,0.9444739854574488,0.774519659206781,0.6179979089920036,0.8502816457416293,0.7165979868928279,0.8495995413163033,0.8633304215462464,0.887661852356772,0.8527064964300518,0.861474801873194,0.8262742309694461,0.8043789606738607,0.9511478288040036,0.8095553598434736,0.7819274954076745,0.934612824530013,0.7573746857542646,0.7688706985775862,0.9765036823230648,0.8727837738773488,0.9999307927584082,0.8745014311167046,0.9424262370690554,0.8590958188284274
MSFT,0.8844299009262445,1.0,0.9821842006669675,0.9356199015137575,0.8232713293685842,0.9459754329883661,0.9860861509666072,0.3955318691849131,0.7705880882028098,0.9972162706911674,0.8630335018747004,0.9947230347853182,0.9965550675468545,0.9884730036792186,0.993178791082401,0.9939649821700915,0.9935380113370433,0.986423831966586,0.9684298795776176,0.9889009296372491,0.9821381475310602,0.9881313975056308,0.9497475151203164,0.9586270935266558,0.9515703142072349,0.998593986591203,0.8813195788609749,0.9963936909993109,0.9783636538561795,0.9978319643109967
AAPL,0.9424493793977022,0.9821842006669675,1.0,0.9751790876420503,0.8592136253043533,0.9897764745471003,0.9984996569588122,0.5211671341220904,0.7972134987985741,0.9715544780724159,0.8812982303432553,0.9746442746759288,0.9797570099146702,0.9903996010519813,0.9769706460727468,0.9803875589787099,0.9570981065270737,0.9532064297557595,0.9975466173729203,0.9543609680144328,0.9381899889991228,0.9993222434675134,0.9310661234731137,0.938034746957081,0.990914720228209,0.9816968283936703,0.9412498366135611,0.9847846538450504,0.9996890789476067,0.9760950610770964
AMZN,0.9922124411777864,0.9356199015137575,0.9751790876420503,1.0,0.759984701800007,0.9832786924819589,0.9774713156448668,0.6909991716521187,0.6758697059269989,0.9091277031576269,0.7744693727326061,0.9081365804251945,0.9189655214495156,0.9355559528712046,0.9101604641844652,0.916985041159756,0.8899081626199014,0.8716992559390457,0.9781523735304353,0.8762093228202443,0.8534719078128833,0.9707199514742277,0.8271917997820971,0.8381158164220261,0.9927591093094842,0.9265574062831915,0.991360892815082,0.9274651616890228,0.9742188726161456,0.9159938843895074
NVDA,0.7110004515029391,0.8232713293685842,0.8592136253043533,0.759984701800007,1.0,0.8579462333599561,0.8330718316703489,0.2374483533956854,0.9920731940844588,0.8375258291389823,0.9946240271396705,0.8621295374295664,0.8579068874879711,0.8926108154841169,0.8728350048992797,0.8718563770446673,0.8181808654540471,0.8557018021193722,0.864197247300785,0.8460762189141424,0.8322087230523422,0.8525691878254656,0.9312581120480855,0.9213770668249748,0.8297848259591394,0.8447695100022712,0.7130705270093249,0.8656832835390814,0.8676828577320338,0.843149022562263
TSLA,0.9656792355414077,0.9459754329883661,0.9897764745471003,0.9832786924819589,0.8579462333599561,1.0,0.9854399566419428,0.6057447581608377,0.7890802369858413,0.9296116321313677,0.8672698221280968,0.9365777443207949,0.9443126247798393,0.9681649563062948,0.9416919522230722,0.9472018891367094,0.9068171241187309,0.9055625760166895,0.9966846835943978,0.9056308398956031,0.8822790480600455,0.9845371226277123,0.8926636270666918,0.8984715034882844,0.9977271086143569,0.9463398024047436,0.965967885321095,0.9527165906309482,0.9921225234066332,0.9370697483250151
META,0.9444739854574488,0.9860861509666072,0.9984996569588122,0.9774713156448668,0.8330718316703489,0.9854399566419428,1.0,0.5236870385107253,0.7681486656887746,0.9746628523919002,0.8593463947801531,0.9755318319242678,0.9810527765383565,0.9876046940782932,0.9768219498929923,0.9803488422297341,0.961438983454554,0.9545447585409743,0.9948885747342793,0.9565099162763905,0.9410154706796191,0.9991893773622915,0.9231000180813821,0.9316197011421805,0.9889821145838529,0.984128775581184,0.9428784010118256,0.9850396769939476,0.9972379441373678,0.9787207325043783
NFLX,0.774519659206781,0.3955318691849131,0.5211671341220904,0.6909991716521187,0.2374483533956854,0.6057447581608377,0.5236870385107253,1.0,0.12115996874105538,0.328824941708134,0.20181415385514678,0.325023023178745,0.3499845696464274,0.3998805859579117,0.33041155593202554,0.3463108477658697,0.292492763856224,0.24831540208553812,0.5501410994293522,0.2581481612238199,0.21665115845068514,0.4996357813260206,0.18589738628792202,0.19945641550045412,0.6275046638916724,0.36873447672845544,0.7773236275280162,0.37122559970281666,0.5233388874079907,0.34374601864981363
CRM,0.6179979089920036,0.7705880882028098,0.7972134987985741,0.6758697059269989,0.9920731940844588,0.7890802369858413,0.7681486656887746,0.12115996874105538,1.0,0.7930211471320016,0.9868484296151566,0.8199881249297767,0.8125991549783443,0.845299658767047,0.8309942079201814,0.8281298265092859,0.7767158453428051,0.8218150768222948,0.7999986485552752,0.8103762478445883,0.8006209111312338,0.7917617164313846,0.9126420178766478,0.8998463542402491,0.756375875757678,0.7963633714874123,0.620110763648321,0.8189044673751964,0.8062794960608929,0.797384085700575
JPM,0.8502816457416293,0.9972162706911674,0.9715544780724159,0.9091277031576269,0.8375258291389823,0.9296116321313677,0.9746628523919002,0.328824941708134,0.7930211471320016,1.0,0.8798504966627565,0.9987514591249534,0.9986532711680309,0.988125028028367,0.9972466071051733,0.9968890895738969,0.9979681004822633,0.9958725466173036,0.9563458952092067,0.9971530003761202,0.9927231450386379,0.9789557611887181,0.9663876988697285,0.9739586625475029,0.9323139497486139,0.9988097077264407,0.8470888859883439,0.9970560045996688,0.9679732502678823,0.9997729961702461
